[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,siminputrow
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5599,16,2.093190523844315,2274,[2.086 2.092],10
1,1.1,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,385,15,2.2519638325475104,757,[5.379 5.528],11
1,1.2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,735,16,2.376258557326986,1253,[5.264 5.42],12
1,1.5,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,3470,15,2.093109347401532,3975,[5.317 5.474],13
1,2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5233,15,2.1160602016248355,5023,[5.313 5.469],14
1,3,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5524,15,2.076214751602946,4834,[5.26 5.471],15
1,1.1,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,336,13,2.0217777118177342,1325,[10.74 10.439],16
1,1.2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,740,18,2.267110085190979,2384,[10.62 10.436],17
1,1.5,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,3621,11,1.8850880323033448,4776,[10.574 10.279],18
1,2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5832,15,2.113986950968621,5373,[10.854 10.284],19
1,3,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5912,11,1.5995371103452114,5446,[10.742 10.344],20
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,573,1,0,2,[1.239 1.266],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,920,2,0.6365141682948128,6,[1.258 1.258],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,3015,1,0,6,[1.246 1.251],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5781,4,1.2309316230479221,13,[1.235 1.271],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,5860,3,0.9556998911125343,7,[1.25 1.264],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,1503984824,1500,489,4,1.1709971261162124,14,[2.158 2.165],6
