"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_200_pf06_hpf3-61_dd1-3_lambda2_NoMigrat"
"05/24/2021 10:47:03:343 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"123","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13162","22","2.800702705688499","13517"
"122","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13212","24","2.9040500922894084","13495"
"125","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13183","20","2.7114809530839947","13385"
"128","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13278","24","2.809936973503544","13501"
"163","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5901","34","3.159106265299481","2088"
"127","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13253","27","2.929235749562835","13410"
"165","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5952","25","2.8221720300653237","2068"
"164","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5963","23","2.7796233369937156","2262"
"129","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13096","27","3.089890178960849","13589"
"166","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5955","28","3.033615582336785","2006"
"168","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","6078","29","2.860491967135086","1865"
"131","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13625","15","2.149362134608434","13586"
"130","200","200","0.6","2","1.1","false","0.001","BirthSelection","30","1","100","0","600","1900","0.3","true","1900","13102","22","2.7491212962075613","13417"
"167","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","6027","29","2.934141243987815","2259"
"134","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13703","19","2.547668686545769","13585"
"132","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13652","21","2.629108482148701","13565"
"135","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13556","21","2.7195810465785586","13585"
"139","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13563","19","2.590928834190143","13448"
"169","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","6060","27","3.0661072508318785","2025"
"136","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13487","24","2.833954212702364","13575"
"141","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13534","16","2.569721215708481","13432"
"133","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13720","21","2.702984604669442","13540"
"137","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13685","22","2.706479370605129","13589"
"140","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13751","22","2.8350887817468373","13437"
"143","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13591","14","2.0170989406938977","13630"
"144","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13627","14","2.458683481008344","13607"
"170","200","200","0.6","2","1.2","false","0.001","NoSelection","9","1","100","0","600","1900","0.3","true","1900","5889","26","2.94597070463142","2148"
"142","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13661","16","2.3802050958671197","13553"
"138","200","200","0.6","2","1.1","false","0.001","BirthSelection","62","1","100","0","600","1900","0.3","true","1900","13656","21","2.6210820460776865","13563"
"146","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13677","13","2.28178862804603","13675"
"148","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13615","15","2.3628154953030327","13552"
"147","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13664","18","2.616315038646318","13524"
"145","200","200","0.6","2","1.1","false","0.001","BirthSelection","125","1","100","0","600","1900","0.3","true","1900","13558","14","2.350046634823574","13478"
"172","200","200","0.6","2","1.2","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6245","17","2.535321238838805","5693"
"171","200","200","0.6","2","1.2","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6353","22","2.858556003475113","5832"
"173","200","200","0.6","2","1.2","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6462","20","2.7805552287507798","5764"
"174","200","200","0.6","2","1.2","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6385","19","2.7358215554002947","5888"
"201","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6268","0","0","0"
"203","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6254","0","0","0"
"202","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6233","0","0","0"
"204","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6344","0","0","0"
"205","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6141","0","0","0"
"207","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6188","0","0","0"
"206","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6451","0","0","0"
"208","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6251","0","0","0"
"209","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6406","0","0","0"
"210","200","200","0.6","2","1.2","false","0.001","Hierarchical","3","1","100","0","600","1900","0.3","true","1900","6332","0","0","0"
"176","200","200","0.6","2","1.2","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6279","22","2.874230176695204","5759"
"175","200","200","0.6","2","1.2","false","0.001","NoSelection","30","1","100","0","600","1900","0.3","true","1900","6456","21","2.758196423251859","5769"
"212","200","200","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5933","23","2.841069246056193","2003"
"213","200","200","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5849","25","2.8814724212085943","1828"
"211","200","200","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","6066","25","2.8263732760511124","2317"
"215","200","200","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5817","25","2.833279375363452","2563"
"214","200","200","0.6","2","1.2","false","0.001","Hierarchical","9","1","100","0","600","1900","0.3","true","1900","5845","23","2.7862559730263747","2339"
