"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf00_hpf3_dd1-3_lambda1.1-4"
"06/29/2021 18:41:12:282 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"91","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","14","2.248153157809999","87"
"99","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.3795365141105758","118"
"106","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","26","3.0040383572170613","138"
"103","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","10","1.9330599382185247","123"
"98","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.352795810856503","111"
"104","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","19","2.4766881197546757","117"
"108","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","19","2.6115222893759085","122"
"101","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","16","2.5393928707062488","99"
"102","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","19","2.7431161698421453","113"
"94","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","14","2.327820773128933","82"
"105","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","14","2.5731594460762657","52"
"97","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","20","2.8002684803923232","102"
"107","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","23","2.8394294492767522","137"
"110","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","17","2.5616982322073563","125"
"109","99","99","0.6","1.1","2","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","14","2.245902219656214","115"
"124","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","22","2.799740199493693","199"
"122","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","24","2.790049214807897","214"
"125","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","25","2.8671910125418303","232"
"123","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","22","2.727271624150523","157"
"126","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","22","2.8434603710020174","168"
"121","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","20","2.628005623542532","144"
"127","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","17","2.220131284948648","202"
"128","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","28","3.0051978571663867","200"
"129","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","23","2.7439640675702193","264"
"130","99","99","0.6","1.1","3","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","26","2.8459359140329292","261"
"132","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","21","2.4157377325724414","220"
"133","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","23","2.670548479107792","240"
"134","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","21","2.4768275760847254","170"
"131","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","24","2.650140417844406","305"
"135","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","17","2.4703401902240296","160"
"136","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","21","2.810792643183012","195"
"137","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","23","2.499858720830787","177"
"139","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","21","2.648767953768955","129"
"138","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","24","2.7802339321928904","228"
"140","99","99","0.6","1.1","3","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","25","2.777557586674781","209"
"21","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","32","2.236724136917906","3235"
"27","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","38","2.7033073130940095","2981"
"26","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","40","2.9611136939732168","3181"
"29","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","34","2.7676603657931396","2779"
"23","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","35","2.9102518144821232","3363"
"28","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","42","2.889745017029635","3363"
"25","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","32","2.662867712501173","3342"
"30","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","43","2.912730845643224","3531"
"22","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","46","2.83102109644789","3397"
"24","99","99","0.6","1.1","1.1","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","35","2.174774423342983","3197"
"152","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","33","3.0483161925068467","283"
"151","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","32","3.254776616307268","187"
"153","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","23","2.9270230429499478","146"
"154","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","30","3.198282012134398","179"
"155","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","27","2.959342770774311","218"
"156","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","24","2.8161966881384908","163"
"55","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","26","2.2964076710329824","3701"
"157","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","29","3.0008213796614","293"
"158","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","29","3.1068208139292492","231"
"57","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","34","2.805200884288943","3810"
"56","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","36","2.815660839596081","3747"
"160","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","28","3.070630462158437","275"
"159","99","99","0.6","1.5","1.1","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","23","2.7094655660741904","181"
"161","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","29","2.9861563794572206","252"
"52","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","38","2.57614918851711","3349"
"58","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","32","2.5813620680411145","3486"
"60","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","37","2.647302533784823","3326"
"54","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","35","2.67021853595325","3777"
"53","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","37","3.0264953640519767","3808"
"164","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","27","2.8994229190510086","186"
"59","99","99","0.6","1.1","1.2","false","0.001","BirthSelection","3","1","100","0","0","1600","0.3","1600","0","33","2.681381508153701","3599"
"163","99","99","0.6","1.5","1.1","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","30","3.124003879655303","198"
